Date,Close
2018-10-16,52.92
2018-10-17,53.52
2018-10-18,51.88
2018-10-19,51.88
2018-10-20,52.75
2018-10-21,52.09
2018-10-22,51.62
2018-10-23,52.12
2018-10-24,51.72
2018-10-25,51.68
2018-10-26,51.88
2018-10-27,51.59
2018-10-28,51.65
2018-10-29,48.71
2018-10-30,49.2
2018-10-31,49.48
2018-11-01,50.79
2018-11-02,51.21
2018-11-03,50.9
2018-11-04,53.37
2018-11-05,53.71
2018-11-06,55.96
2018-11-07,52.9
2018-11-08,52.29
2018-11-09,52.29
2018-11-10,51.8
2018-11-11,50.81
2018-11-12,50.12
2018-11-13,49.39
2018-11-14,42.8
2018-11-15,43.09
2018-11-16,41.65
2018-11-17,42.25
2018-11-18,40.55
2018-11-19,36.79
2018-11-20,32.73
2018-11-21,34.41
2018-11-22,31.18
2018-11-23,32.22
2018-11-24,27.5
2018-11-25,31.32
2018-11-26,29.56
2018-11-27,31.06
2018-11-28,33.15
2018-11-29,33.89
2018-11-30,31.36
2018-12-01,33.55
2018-12-02,32.12
2018-12-03,30.32
2018-12-04,30.17
2018-12-05,28.58
2018-12-06,25.08
2018-12-07,25.08
2018-12-08,24.4
2018-12-09,25
2018-12-10,23.95
2018-12-11,23.45
2018-12-12,23.65
2018-12-13,22.81
2018-12-14,23.84
2018-12-15,25.97
2018-12-16,25.61
2018-12-17,29.6
2018-12-18,30.45
2018-12-19,29.2
2018-12-20,31.45
2018-12-21,30.23
2018-12-22,32.41
2018-12-23,36
2018-12-24,30
2018-12-25,31.63
2018-12-26,29.75
2018-12-27,27.9
2018-12-28,31.61
2018-12-29,31.36
2018-12-30,31.05
2018-12-31,29.72
2019-01-01,31.72
2019-01-02,32.78
2019-01-03,31.72
2019-01-04,33.09
2019-01-05,34.97
2019-01-06,38.49
2019-01-07,38.01
2019-01-08,39.68
2019-01-09,38.75
2019-01-10,32.51
2019-01-11,32.29
2019-01-12,32.88
2019-01-13,30.33
2019-01-14,32.28
2019-01-15,30.99
2019-01-16,30.69
2019-01-17,31.25
2019-01-18,30.95
2019-01-19,32.75
2019-01-20,30.33
2019-01-21,30.75
2019-01-22,31.69
2019-01-23,31.15
2019-01-24,32.66
2019-01-25,33.07
2019-01-26,32.76
2019-01-27,30.95
2019-01-28,30.69
2019-01-29,30.86
2019-01-30,31.92
2019-01-31,30.97
2019-02-01,32.9
2019-02-02,33.99
2019-02-03,33.28
2019-02-04,33.77
2019-02-05,32.35
2019-02-06,32.79
2019-02-07,32.63
2019-02-08,43.09
2019-02-09,43.31
2019-02-10,43.84
2019-02-11,43.43
2019-02-12,43.62
2019-02-13,41.37
2019-02-14,41.53
2019-02-15,43.45
2019-02-16,43.21
2019-02-17,44.05
2019-02-18,47.1
2019-02-19,47.19
2019-02-20,50.55
2019-02-21,49.05
2019-02-22,49.05
2019-02-23,52.37
2019-02-24,44.07
2019-02-25,45.5
2019-02-26,44.63
2019-02-27,45.36
2019-02-28,45.91
2019-03-01,48.38
2019-03-02,48.83
2019-03-03,47.2
2019-03-04,45.58
2019-03-05,51.92
2019-03-06,56.62
2019-03-07,55.47
2019-03-08,56.55
2019-03-09,56.99
2019-03-10,56.86
2019-03-11,52.51
2019-03-12,56.35
2019-03-13,55.36
2019-03-14,55.9
2019-03-15,60.78
2019-03-16,60.04
2019-03-17,61.27
2019-03-18,59.05
2019-03-19,58.6
2019-03-20,59.68
2019-03-21,58.43
2019-03-22,59.36
2019-03-23,60.07
2019-03-24,59.95
2019-03-25,58.39
2019-03-26,59.75
2019-03-27,60.48
2019-03-28,60.4
2019-03-29,60.54
2019-03-30,59.84
2019-03-31,60.68
2019-04-01,60.31
2019-04-02,83.35
2019-04-03,85.47
2019-04-04,84.32
2019-04-05,87.48
2019-04-06,93.4
2019-04-07,91.65
2019-04-08,87.24
2019-04-09,88.05
2019-04-10,85.05
2019-04-11,78.54
2019-04-12,82.4
2019-04-13,77.48
2019-04-14,83.87
2019-04-15,78.26
2019-04-16,80.65
2019-04-17,81.03
2019-04-18,81.02
2019-04-19,82.5
2019-04-20,81.45
2019-04-21,75.77
2019-04-22,77.27
2019-04-23,73.9
2019-04-24,73.12
2019-04-25,72.1
2019-04-26,71.36
2019-04-27,70.48
2019-04-28,67.89
2019-04-29,68.02
2019-04-30,73.14
2019-05-01,72.53
2019-05-02,73.47
2019-05-03,78.79
2019-05-04,76.72
2019-05-05,71.64
2019-05-06,76.8
2019-05-07,72.98
2019-05-08,75.08
2019-05-09,73.12
2019-05-10,78.84
2019-05-11,88.59
2019-05-12,86.1
2019-05-13,91.64
2019-05-14,95.75
2019-05-15,103.8
2019-05-16,89.15
2019-05-17,89.07
2019-05-18,91.91
2019-05-19,92.64
2019-05-20,90.51
2019-05-21,91.56
2019-05-22,87.56
2019-05-23,89.37
2019-05-24,103.7
2019-05-25,101.99
2019-05-26,114.23
2019-05-27,115.91
2019-05-28,113.33
2019-05-29,116.99
2019-05-30,107.45
2019-05-31,114.75
2019-06-01,113.37
2019-06-02,115.65
2019-06-03,102
2019-06-04,102.96
2019-06-05,105.48
2019-06-06,110.76
2019-06-07,117
2019-06-08,117.43
2019-06-09,116.46
2019-06-10,128.29
